ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
142.01,0142.01 - Winnipeg,388.0,4.0,218.0,166.0,0.0,0.0103092783505154,0.5618556701030928,0.4278350515463917,0.0,,1001.0,1276.0,,1118.0,,,,,,72500.0,13416.0,18.504827586206897,Moderate relative burden
142.02,0142.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,114000.0,,,
142.03,0142.03 - Winnipeg,,43.0,,920.0,69.0,,,,,843.0,1280.0,1529.0,1653.0,1373.0,,0.2,1.0,,0.7,51200.0,16476.0,32.1796875,Highest relative burden
142.04,0142.04 - Winnipeg,,,,,,,,,,,,,,,,,,,,85000.0,,,
150.01,0150.01 - Winnipeg,48.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,129000.0,,,
150.02,0150.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,155000.0,,,
160.0,0160.00 - Winnipeg,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,107000.0,,,
161.01,0161.01 - Winnipeg,,,,,,,,,,,,,,,,,,,,55600.0,,,
161.02,0161.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,80000.0,,,
500.01,0500.01 - Winnipeg,,2.0,508.0,593.0,76.0,,,,,,1132.0,1343.0,,1268.0,,,3.0,,2.5,65500.0,15216.0,23.23053435114504,Highest relative burden
500.02,0500.02 - Winnipeg,103.0,0.0,27.0,70.0,6.0,0.0,0.2621359223300971,0.6796116504854369,0.058252427184466,,,,,,,,,,,90000.0,,,
500.04,0500.04 - Winnipeg,568.0,8.0,224.0,324.0,12.0,0.0140845070422535,0.3943661971830985,0.5704225352112676,0.0211267605633802,,1133.0,1222.0,,1181.0,,2.1,1.2,,1.7,68000.0,14172.0,20.841176470588238,Higher relative burden
500.07,0500.07 - Winnipeg,,,,,,,,,,,,,,,,,,,,116000.0,,,
500.08,0500.08 - Winnipeg,84.0,0.0,16.0,65.0,3.0,0.0,0.1904761904761904,0.7738095238095238,0.0357142857142857,,,,,,,,,,,139000.0,,,
500.09,0500.09 - Winnipeg,,,,,,,,,,,,,,,,,,,,131000.0,,,
500.1,0500.10 - Winnipeg,330.0,0.0,183.0,147.0,0.0,0.0,0.5545454545454546,0.4454545454545454,0.0,,,,,,,,,,,87000.0,,,
500.11,0500.11 - Winnipeg,336.0,0.0,55.0,269.0,12.0,0.0,0.1636904761904762,0.8005952380952381,0.0357142857142857,,1404.0,1699.0,,1663.0,,0.0,0.3,,0.3,108000.0,19956.0,18.477777777777774,Moderate relative burden
500.12,0500.12 - Winnipeg,478.0,0.0,65.0,363.0,50.0,0.0,0.1359832635983263,0.7594142259414226,0.104602510460251,,,,,,,,,,,107000.0,,,
500.13,0500.13 - Winnipeg,805.0,0.0,296.0,422.0,87.0,0.0,0.3677018633540372,0.5242236024844721,0.1080745341614906,,1514.0,1762.0,2035.0,1698.0,,,0.6,,1.8,103000.0,20376.0,19.782524271844657,Higher relative burden
501.01,0501.01 - Winnipeg,,51.0,626.0,950.0,68.0,,,,,877.0,1159.0,1297.0,,1244.0,,1.8,1.6,,1.6,52000.0,14928.0,28.707692307692305,Highest relative burden
501.02,0501.02 - Winnipeg,478.0,0.0,118.0,284.0,76.0,0.0,0.2468619246861924,0.5941422594142259,0.1589958158995816,,1375.0,1585.0,1796.0,1561.0,,,,,,88000.0,18732.0,21.286363636363635,Higher relative burden
501.03,0501.03 - Winnipeg,,26.0,775.0,953.0,50.0,,,,,936.0,1410.0,1419.0,,1421.0,,0.8,1.7,,1.2,59200.0,17052.0,28.804054054054053,Highest relative burden
502.0,0502.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,93000.0,,,
503.0,0503.00 - Winnipeg,39.0,8.0,21.0,10.0,0.0,0.2051282051282051,0.5384615384615384,0.2564102564102564,0.0,,,,,,,,,,,106000.0,,,
510.02,0510.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,141000.0,,,
510.03,0510.03 - Winnipeg,,12.0,553.0,930.0,98.0,,,,,,1561.0,2136.0,2473.0,1927.0,,0.5,0.1,2.9,0.5,78500.0,23124.0,29.457324840764333,Highest relative burden
510.06,0510.06 - Winnipeg,,,,,,,,,,,,,,,,,,,,151000.0,,,
520.02,0520.02 - Winnipeg,83.0,0.0,41.0,42.0,0.0,0.0,0.4939759036144578,0.5060240963855421,0.0,,,,,,,,,,,125000.0,,,
520.03,0520.03 - Winnipeg,284.0,0.0,142.0,132.0,10.0,0.0,0.5,0.4647887323943662,0.0352112676056338,,,,,,,,,,,96000.0,,,
520.04,0520.04 - Winnipeg,60.0,0.0,3.0,57.0,0.0,0.0,0.05,0.95,0.0,,,,,,,,,,,138000.0,,,
520.05,0520.05 - Winnipeg,,,,,,,,,,,,,,,,,,,,159000.0,,,
521.01,0521.01 - Winnipeg,60.0,0.0,28.0,32.0,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,,,,,,,,,,,114000.0,,,
521.02,0521.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,97000.0,,,
522.01,0522.01 - Winnipeg,253.0,27.0,138.0,88.0,0.0,0.1067193675889328,0.5454545454545454,0.3478260869565217,0.0,,,,,,,,,,,90000.0,,,
522.02,0522.02 - Winnipeg,58.0,12.0,34.0,12.0,0.0,0.2068965517241379,0.5862068965517241,0.2068965517241379,0.0,,,,,,,,,,,112000.0,,,
530.0,0530.00 - Winnipeg,387.0,34.0,189.0,159.0,5.0,0.0878552971576227,0.4883720930232558,0.4108527131782946,0.0129198966408268,,1144.0,,,1251.0,,0.0,,,0.6,71500.0,15012.0,20.9958041958042,Higher relative burden
