ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0102.04,0102.04 - Winnipeg,914.0,44.0,533.0,294.0,43.0,0.04814004376367615,0.5831509846827133,0.32166301969365424,0.047045951859956234,,1109.0,1247.0,1557.0,1174.0,,0.0,0.6,0.0,0.3,50800.0,14088.0,27.732283464566933,Highest relative burden
0103.00,0103.00 - Winnipeg,98.0,4.0,68.0,26.0,0.0,0.04081632653061224,0.6938775510204082,0.2653061224489796,0.0,,,,,,,,,,,92000.0,,,
0104.00,0104.00 - Winnipeg,899.0,18.0,413.0,449.0,19.0,0.020022246941045607,0.4593993325917686,0.4994438264738598,0.021134593993325918,,1156.0,1344.0,,1262.0,,,0.5,,0.4,63600.0,15144.0,23.81132075471698,Highest relative burden
0105.00,0105.00 - Winnipeg,279.0,3.0,226.0,49.0,1.0,0.010752688172043012,0.8100358422939068,0.17562724014336917,0.0035842293906810036,,,,,,,,,,,81000.0,,,
0110.01,0110.01 - Winnipeg,499.0,2.0,85.0,405.0,7.0,0.004008016032064128,0.17034068136272545,0.811623246492986,0.014028056112224449,,1224.0,1726.0,,1641.0,,0.0,0.2,,0.2,88000.0,19692.0,22.377272727272725,Higher relative burden
0110.02,0110.02 - Winnipeg,274.0,0.0,80.0,194.0,0.0,0.0,0.291970802919708,0.708029197080292,0.0,,,1561.0,,1483.0,,,,,,101000.0,17796.0,17.61980198019802,Moderate relative burden
0110.04,0110.04 - Winnipeg,324.0,80.0,72.0,160.0,12.0,0.24691358024691357,0.2222222222222222,0.49382716049382713,0.037037037037037035,,,,,,,,,,,113000.0,,,
0110.06,0110.06 - Winnipeg,307.0,0.0,86.0,221.0,0.0,0.0,0.28013029315960913,0.7198697068403909,0.0,,,1427.0,,1336.0,,,,,,124000.0,16032.0,12.929032258064515,Lower relative burden
0110.08,0110.08 - Winnipeg,915.0,9.0,271.0,600.0,35.0,0.009836065573770493,0.29617486338797816,0.6557377049180327,0.03825136612021858,,1606.0,1820.0,2160.0,1774.0,,,0.2,,0.1,126000.0,21288.0,16.895238095238096,Moderate relative burden
0110.09,0110.09 - Winnipeg,252.0,2.0,75.0,125.0,50.0,0.007936507936507936,0.2976190476190476,0.49603174603174605,0.1984126984126984,,,,,,,,,,,140000.0,,,
0111.00,0111.00 - Winnipeg,220.0,5.0,131.0,84.0,0.0,0.022727272727272728,0.5954545454545455,0.38181818181818183,0.0,,,,,,,,,,,94000.0,,,
